relative_path,status,expected_sha256,actual_sha256,expected_bytes,actual_bytes
INT8-INT4/flood/src/tmp/core/QuantizationUnitDebugTest.scala,pass,0a2690e3a530a41a300177c7d804a839c932af043f3a2f74ad2f5d875dfc5b68,0a2690e3a530a41a300177c7d804a839c932af043f3a2f74ad2f5d875dfc5b68,5734,5734
INT8-INT4/flood/src/tmp/core/QuantizationUnitSimpleDebugTest.scala,pass,d582d363d7908df12476847dc66d46f67cf416656870e99d5c925f835689ff91,d582d363d7908df12476847dc66d46f67cf416656870e99d5c925f835689ff91,3669,3669
INT8-INT4/flood/src/tmp/core/QuantizationUnitTest.scala,pass,e066a76901b2d50ba678ce17cdbb622c83ce60cb9eb42a82540c0e21fba31d04,e066a76901b2d50ba678ce17cdbb622c83ce60cb9eb42a82540c0e21fba31d04,10375,10375
INT8-INT4/flood/src/tmp/core/TileTest.scala,pass,e80cd6bd6ac181e6937da4c77b3ae129517b654a0d498525043ef81c1618bc38,e80cd6bd6ac181e6937da4c77b3ae129517b654a0d498525043ef81c1618bc38,24600,24600
INT8-INT4/flood/src/tmp/machine/FSMTest.scala,pass,f41573945a0c393a7ebb8b1e208bc4c6692483bbd603c3cc8e0d55a001029d95,f41573945a0c393a7ebb8b1e208bc4c6692483bbd603c3cc8e0d55a001029d95,7335,7335
INT8-INT4/flood/src/tmp/machine/MacMachineTest.scala,pass,671a68dc324277166e41d274edbbac63ecaaa25a6ee113686383b5801b5dafed,671a68dc324277166e41d274edbbac63ecaaa25a6ee113686383b5801b5dafed,30142,30142
INT8-INT4/flood/src/tmp/machine/MultipleDetectorTest.scala,pass,0b4b5fac413727e3d283439cfbf00b1f30543bf14f52546e6f9a9204ee6810e9,0b4b5fac413727e3d283439cfbf00b1f30543bf14f52546e6f9a9204ee6810e9,9214,9214
INT8-INT4/flood/src/tmp/machine/OutRouterTest.scala,pass,12f1920d6f5ccd3b0fcec7fc42f212d4c793b2271d888de386e05ac36a741577,12f1920d6f5ccd3b0fcec7fc42f212d4c793b2271d888de386e05ac36a741577,6108,6108
INT8-INT4/flood/src/tmp/sram/OutputBufferTest.scala,pass,c654abf6cd95910d578f8672b40014870276342df627b32980db3afddbda564f,c654abf6cd95910d578f8672b40014870276342df627b32980db3afddbda564f,9493,9493
INT8-INT4/flood/src/tmp/sram/TransSram3DTest.scala,pass,c96aeb4aa2b0c97765c27691b45bb7d572c4eb7d048ef310de3b417f66ef0478,c96aeb4aa2b0c97765c27691b45bb7d572c4eb7d048ef310de3b417f66ef0478,16722,16722
INT8-INT4/flood/src/tmp/sram/pingpongBufferTest.scala,pass,447bd68fbcaf2c9e330b85c14013e3a290f24f620db9a9a9f6d2ea7cd503e646,447bd68fbcaf2c9e330b85c14013e3a290f24f620db9a9a9f6d2ea7cd503e646,5688,5688
INT8-INT4/flood/src/tmp/sram/vectorTest.scala,pass,95c846bbe580c07f27b0bdb5b6b01350c493a8536ede342cc6b775dddf9c8e07,95c846bbe580c07f27b0bdb5b6b01350c493a8536ede342cc6b775dddf9c8e07,5708,5708
channel group sparisy/flood/src/main/scala/Machine/FSM.scala,pass,687c22642709060d1d7e42b83cf21ae329ac4498b8deca5206d905b8638bc166,687c22642709060d1d7e42b83cf21ae329ac4498b8deca5206d905b8638bc166,19350,19350
channel group sparisy/flood/src/main/scala/Machine/FSMDualMode.scala,pass,d24b069d92aba777ad632037ff3b41c9006c3ee7fd0704f7a04e13599e807ed8,d24b069d92aba777ad632037ff3b41c9006c3ee7fd0704f7a04e13599e807ed8,25410,25410
channel group sparisy/flood/src/main/scala/Machine/MacMachine.scala,pass,4e0ee1dedfcbafa4f73016720badcc85c3fc80c5ea5171ed519f03bbeadb012c,4e0ee1dedfcbafa4f73016720badcc85c3fc80c5ea5171ed519f03bbeadb012c,8878,8878
channel group sparisy/flood/src/main/scala/Machine/MacMachineWrapper.scala,pass,23a0e188ceebcd1e46400b0f83c343241a7a0256b01fac380a76875845f6c178,23a0e188ceebcd1e46400b0f83c343241a7a0256b01fac380a76875845f6c178,9171,9171
channel group sparisy/flood/src/main/scala/Machine/MultipleDetector.scala,pass,05622a4895c82d4c96f28d1af207ebb6314f34f809d6233dd172f7a4fc1b1b20,05622a4895c82d4c96f28d1af207ebb6314f34f809d6233dd172f7a4fc1b1b20,2601,2601
